RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_INTEREST_AREA_DWELL_TIME
S09,1,.,7,335,.
S09,1,C,379,718,2236
S09,1,C,733,931,2236
S09,1,C,972,1309,2236
S09,1,C,1343,1548,2236
S09,1,.,1584,1737,.
S09,1,C,1779,2008,1305
S09,1,C,2034,2135,1305
S09,1,O,2194,2374,181
S09,1,O,2395,2588,491
S09,1,O,2638,2920,283
S09,1,C,2960,3132,635
S09,1,C,3143,3318,635
S09,1,C,3327,3612,635
S09,1,O,3672,3871,491
S09,1,O,3892,3988,491
S09,1,C,4026,4526,1305
S09,1,C,4538,4957,1305
S09,1,C,4975,5026,1305
S09,1,C,5097,6249,2236
S09,1,.,6290,6432,.
S09,1,.,6444,6569,.
S09,1,.,6619,6766,.
S09,1,.,6801,7028,.
S09,1,C,7071,7456,1000
S09,1,C,7480,8093,1000
S09,2,O,7,324,1567
S09,2,O,367,573,207
S09,2,C,634,773,140
S09,2,O,794,820,27
S09,2,C,866,1150,1283
S09,2,C,1160,1261,1283
S09,2,.,1328,1572,.
S09,2,.,1658,2216,.
S09,2,O,2265,2639,375
S09,2,O,2671,2961,291
S09,2,C,2997,3340,1283
S09,2,.,3380,3556,.
S09,2,C,3592,3829,1283
S09,2,.,3860,4034,.
S09,2,O,4093,4353,261
S09,2,O,4383,4542,698
S09,2,O,4579,4842,1567
S09,2,O,4854,5554,1567
S09,2,O,5595,5878,1567
S09,2,O,5932,6302,371
S09,2,.,6340,6489,.
S09,2,O,6529,6819,698
S09,2,O,6827,7073,698
S09,2,C,7142,7455,1283
S09,2,.,7473,7652,.
S09,2,.,7662,8102,.
S09,3,O,7,272,5296
S09,3,E,314,529,1399
S09,3,E,538,752,1399
S09,3,E,769,913,1399
S09,3,E,924,1067,1399
S09,3,.,1100,1257,.
S09,3,O,1314,1671,5296
S09,3,O,1711,1896,5296
S09,3,O,1992,2402,478
S09,3,O,2415,2481,478
S09,3,O,2554,2727,5296
S09,3,O,2745,4242,5296
S09,3,O,4255,4402,5296
S09,3,O,4423,4716,5296
S09,3,O,4769,5056,5296
S09,3,O,5067,6392,5296
S09,3,O,6402,6545,5296
S09,3,O,6557,6898,5296
S09,3,O,6922,7083,5296
S09,3,E,7128,7432,1399
S09,3,E,7457,7830,1399
S09,3,O,7980,8089,5296
S09,4,C,7,294,1904
S09,4,C,318,530,1904
S09,4,C,554,1132,1904
S09,4,C,1180,1410,1904
S09,4,O,1449,1621,671
S09,4,O,1655,2152,671
S09,4,C,2182,2774,1904
S09,4,O,2817,2985,3436
S09,4,O,3007,3782,3436
S09,4,O,3799,4208,3436
S09,4,O,4221,4614,3436
S09,4,O,4677,4981,305
S09,4,.,5098,5405,.
S09,4,O,5446,5645,3436
S09,4,O,5671,5832,3436
S09,4,O,5847,5993,3436
S09,4,O,6034,6209,3436
S09,4,O,6226,6461,3436
S09,4,O,6471,6726,3436
S09,4,O,6750,6825,3436
S09,4,O,6931,7021,3436
S09,4,O,7057,7214,3436
S09,4,O,7233,7417,3436
S09,4,.,7468,7644,.
S09,4,.,7657,7990,.
S09,5,O,7,207,201
S09,5,E,250,429,923
S09,5,C,479,642,804
S09,5,C,652,764,804
S09,5,E,807,1986,1654
S09,5,E,2005,2268,1654
S09,5,E,2292,2501,1654
S09,5,E,2575,2807,2013
S09,5,E,2826,3333,2013
S09,5,E,3370,3467,2013
S09,5,E,3509,4017,923
S09,5,.,4056,4232,.
S09,5,C,4248,4399,766
S09,5,C,4408,4580,766
S09,5,C,4595,5035,766
S09,5,.,5062,5213,.
S09,5,C,5226,5411,186
S09,5,.,5455,5697,.
S09,5,.,5705,5771,.
S09,5,.,5813,5954,.
S09,5,C,5965,6491,804
S09,5,E,6544,6777,923
S09,5,E,6818,7244,2013
S09,5,E,7270,7543,2013
S09,5,E,7576,7739,2013
S09,5,E,7763,7920,2013
S09,5,E,7943,8093,2013
S09,6,E,7,264,1663
S09,6,E,295,357,1663
S09,6,C,417,572,1375
S09,6,C,584,1020,1375
S09,6,E,1087,1285,1663
S09,6,E,1305,1878,1663
S09,6,E,1909,2109,1663
S09,6,E,2152,2294,1663
S09,6,E,2336,2560,1663
S09,6,O,2618,2768,389
S09,6,O,2826,3059,1145
S09,6,O,3087,3154,1145
S09,6,E,3207,3382,176
S09,6,O,3396,3667,1145
S09,6,O,3674,4028,1145
S09,6,O,4046,4331,500
S09,6,O,4339,4552,500
S09,6,O,4563,4778,1145
S09,6,O,4863,5100,389
S09,6,E,5121,5526,1070
S09,6,E,5535,5741,1070
S09,6,.,5753,6248,.
S09,6,E,6255,6653,1070
S09,6,.,6662,6856,.
S09,6,E,6864,6921,1070
S09,6,.,7212,7236,.
S09,6,C,7257,7452,1375
S09,6,C,7467,7618,1375
S09,6,C,7639,7933,1375
S09,6,C,7956,8094,1375
S09,7,.,7,225,.
S09,7,.,257,360,.
S09,7,.,402,547,.
S09,7,C,555,758,491
S09,7,C,768,1054,491
S09,7,.,1103,1261,.
S09,7,.,1273,1405,.
S09,7,.,1506,1545,.
S09,7,O,1828,1940,332
S09,7,.,1976,2142,.
S09,7,O,2153,2317,332
S09,7,O,2369,2527,615
S09,7,C,2553,2745,505
S09,7,O,2792,3080,615
S09,7,O,3097,3263,615
S09,7,.,3332,3703,.
S09,7,C,3729,3905,356
S09,7,C,3915,4093,356
S09,7,.,4145,4327,.
S09,7,C,4346,4657,505
S09,7,.,4705,4834,.
S09,7,O,4886,5162,670
S09,7,O,5183,5417,670
S09,7,O,5430,5587,670
S09,7,O,5649,5792,1264
S09,7,O,5818,5992,1264
S09,7,O,6012,6956,1264
S09,7,C,6967,7385,419
S09,7,.,7415,7540,.
S09,7,.,7576,7799,.
S09,7,E,7813,8001,189
S09,7,O,8037,8090,332
S09,8,O,7,219,382
S09,8,C,253,427,4810
S09,8,C,445,629,4810
S09,8,C,635,2112,4810
S09,8,C,2130,2635,4810
S09,8,C,2657,3046,4810
S09,8,C,3067,3704,4810
S09,8,.,3755,3887,.
S09,8,C,3935,4052,4810
S09,8,.,4107,4273,.
S09,8,C,4288,4452,165
S09,8,C,4507,4712,4810
S09,8,O,4771,5147,751
S09,8,O,5160,5533,751
S09,8,.,5596,5670,.
S09,8,O,5704,5872,382
S09,8,.,5909,6138,.
S09,8,C,6156,6434,748
S09,8,C,6449,6678,748
S09,8,C,6687,6925,748
S09,8,C,6962,7213,4810
S09,8,C,7224,7393,4810
S09,8,C,7408,8099,4810
S09,9,O,7,124,954
S09,9,.,151,331,.
S09,9,C,367,487,1458
S09,9,C,509,671,1458
S09,9,C,701,1009,1458
S09,9,C,1054,1254,1458
S09,9,C,1281,1375,1458
S09,9,.,1393,1544,.
S09,9,.,1553,1906,.
S09,9,C,1966,2180,1458
S09,9,O,2218,2364,571
S09,9,C,2404,2969,1020
S09,9,C,2977,3430,1020
S09,9,.,3520,3725,.
S09,9,.,3890,4111,.
S09,9,O,4202,4322,954
S09,9,O,4341,4386,954
S09,9,C,4440,4579,744
S09,9,C,4650,5003,1458
S09,9,O,5055,5478,571
S09,9,O,5540,5756,954
S09,9,C,5811,6046,579
S09,9,C,6062,6252,579
S09,9,C,6260,6411,579
S09,9,O,6462,6688,954
S09,9,O,6702,6926,954
S09,9,O,6980,7215,423
S09,9,O,7250,7436,423
S09,9,C,7487,7687,744
S09,9,C,7700,8102,744
S09,10,O,7,127,203
S09,10,.,334,427,.
S09,10,C,471,847,1086
S09,10,C,861,971,1086
S09,10,E,1017,1249,1421
S09,10,O,1288,1658,1127
S09,10,C,1676,1933,1086
S09,10,E,1980,2196,1421
S09,10,E,2221,2347,1421
S09,10,.,2382,2554,.
S09,10,C,2573,2725,1086
S09,10,O,2794,2934,141
S09,10,O,2982,3114,398
S09,10,O,3164,3428,398
S09,10,O,3478,3559,203
S09,10,C,3617,3809,2100
S09,10,C,3821,3992,2100
S09,10,C,4014,4255,2100
S09,10,C,4261,4446,2100
S09,10,C,4460,4884,2100
S09,10,C,4893,5316,2100
S09,10,C,5339,5796,2100
S09,10,O,6084,6210,1127
S09,10,C,6236,6422,1086
S09,10,E,6468,6673,1421
S09,10,E,6710,7054,1421
S09,10,O,7085,7364,1127
S09,10,O,7387,7533,1127
S09,10,O,7547,7748,1127
S09,10,E,7788,7989,1421
S09,10,E,8013,8103,1421
S09,11,O,7,143,469
S09,11,.,187,322,.
S09,11,T,363,681,482
S09,11,.,722,809,.
S09,11,T,890,1127,633
S09,11,C,1169,1435,2671
S09,11,C,1457,1936,2671
S09,11,C,1950,2451,2671
S09,11,C,2462,2650,2671
S09,11,C,2658,2831,2671
S09,11,C,2884,3105,592
S09,11,C,3126,3300,592
S09,11,O,3367,3698,469
S09,11,T,3786,4180,633
S09,11,.,4221,4381,.
S09,11,.,4430,4564,.
S09,11,T,4614,4776,482
S09,11,O,4812,5100,289
S09,11,O,5151,5394,244
S09,11,C,5427,5621,592
S09,11,C,5831,6246,2671
S09,11,.,6264,6848,.
S09,11,C,6865,7237,2671
S09,11,.,7263,7655,.
S09,11,C,7680,7949,2671
S09,11,.,7985,8091,.
