RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_INTEREST_AREA_DWELL_TIME
S04,1,C,620,879,5038
S04,1,C,893,1045,5038
S04,1,C,1061,1403,5038
S04,1,C,1413,1686,5038
S04,1,C,1742,1920,1614
S04,1,C,1948,2111,1614
S04,1,C,2134,2531,1614
S04,1,C,2558,2997,1614
S04,1,C,3017,3178,1614
S04,1,C,3203,3473,1614
S04,1,.,3513,3746,.
S04,1,C,3778,3979,5038
S04,1,C,3990,4204,5038
S04,1,C,4223,4522,5038
S04,1,C,4543,4854,5038
S04,1,C,4862,5178,5038
S04,1,C,5198,5393,5038
S04,1,C,5407,5633,5038
S04,1,C,5655,5869,5038
S04,1,C,5920,6219,5038
S04,1,C,6236,6481,5038
S04,1,C,6500,6672,5038
S04,1,C,6698,6926,5038
S04,1,C,6936,7235,5038
S04,1,C,7247,7590,5038
S04,1,C,7631,7784,5038
S04,1,C,7799,8076,5038
S04,2,O,70,495,1675
S04,2,O,516,849,1675
S04,2,O,889,1194,1259
S04,2,C,1248,1441,194
S04,2,C,1492,1625,1451
S04,2,C,1647,1917,1451
S04,2,C,1930,2262,1451
S04,2,C,2294,2426,1451
S04,2,C,2454,2794,1451
S04,2,C,2801,3039,1451
S04,2,O,3087,3512,426
S04,2,O,3538,3817,645
S04,2,O,3829,4020,645
S04,2,O,4045,4272,228
S04,2,O,4312,4763,452
S04,2,O,4807,5081,275
S04,2,.,5108,5334,.
S04,2,.,5341,5880,.
S04,2,O,5922,6605,1259
S04,2,O,6629,6897,1259
S04,2,O,6925,7107,1675
S04,2,O,7127,7438,1675
S04,2,O,7450,7718,1675
S04,2,O,7732,7882,1675
S04,2,O,7920,8092,645
S04,3,E,470,610,1855
S04,3,E,634,799,1855
S04,3,E,821,1098,1855
S04,3,E,1113,1346,1855
S04,3,E,1373,1574,1855
S04,3,E,1591,1784,1855
S04,3,E,1800,1956,1855
S04,3,E,1982,2235,1855
S04,3,E,2245,2473,1855
S04,3,O,2525,2748,4668
S04,3,O,2793,2927,4668
S04,3,O,2952,3547,4668
S04,3,O,3571,4165,4668
S04,3,O,4214,4372,4668
S04,3,O,4388,5523,4668
S04,3,O,5575,5871,4668
S04,3,O,5885,6099,4668
S04,3,O,6121,6614,494
S04,3,O,6645,6818,4668
S04,3,O,6858,7039,4668
S04,3,O,7062,7217,4668
S04,3,O,7228,7600,4668
S04,3,O,7629,7976,4668
S04,3,O,8014,8091,4668
S04,4,C,344,504,1649
S04,4,C,527,754,1649
S04,4,C,770,1002,1649
S04,4,C,1047,1342,1649
S04,4,C,1365,1442,1649
S04,4,O,1494,2068,575
S04,4,C,2109,2313,1649
S04,4,C,2337,2670,1649
S04,4,C,2678,2791,1649
S04,4,O,2844,3131,704
S04,4,O,3152,3567,704
S04,4,O,3612,3787,3555
S04,4,O,3806,4336,3555
S04,4,O,4362,4688,3555
S04,4,O,4711,4977,3555
S04,4,O,4999,5320,3555
S04,4,O,5348,5646,3555
S04,4,O,5681,6025,3555
S04,4,O,6049,6527,3555
S04,4,O,6587,6944,3555
S04,4,O,6966,7354,3555
S04,4,.,7393,7826,.
S04,4,.,7840,8029,.
S04,4,O,8044,8105,3555
S04,5,C,445,638,421
S04,5,C,653,879,421
S04,5,.,897,961,.
S04,5,C,979,2354,1682
S04,5,C,2366,2671,1682
S04,5,O,2730,2869,411
S04,5,E,2913,3087,340
S04,5,E,3105,3269,340
S04,5,.,3281,3507,.
S04,5,O,3546,3816,411
S04,5,E,3888,4148,1079
S04,5,E,4165,4403,1079
S04,5,.,4429,4562,.
S04,5,E,4589,4776,1079
S04,5,E,4802,5079,1079
S04,5,E,5101,5213,1079
S04,5,C,5268,5626,359
S04,5,.,5679,5826,.
S04,5,E,5850,6327,478
S04,5,.,6351,6598,.
S04,5,.,6632,6936,.
S04,5,E,7000,7143,1014
S04,5,E,7176,7636,1014
S04,5,E,7662,7889,1014
S04,5,E,7911,8091,1014
S04,6,E,304,538,1553
S04,6,E,564,836,1553
S04,6,E,861,1061,1553
S04,6,E,1102,1334,1553
S04,6,E,1374,1488,1553
S04,6,.,1528,1693,.
S04,6,O,1712,2025,3036
S04,6,O,2076,2347,3036
S04,6,.,2369,2569,.
S04,6,E,2627,2822,1553
S04,6,E,2853,3152,1553
S04,6,.,3204,3443,.
S04,6,.,3472,3688,.
S04,6,.,3712,3863,.
S04,6,O,3903,4133,3036
S04,6,O,4149,4318,3036
S04,6,O,4325,4640,3036
S04,6,O,4660,4891,3036
S04,6,O,4925,5094,3036
S04,6,O,5126,5479,3036
S04,6,O,5536,5796,3036
S04,6,O,5820,6147,3036
S04,6,.,6188,6479,.
S04,6,.,6489,6593,.
S04,6,O,6643,6880,238
S04,6,O,6915,7128,3036
S04,6,O,7198,7367,811
S04,6,O,7379,7552,3036
S04,6,O,7586,7777,811
S04,6,O,7812,8086,811
S04,7,C,363,601,343
S04,7,C,615,718,343
S04,7,C,746,1033,1303
S04,7,C,1042,1636,1303
S04,7,C,1657,1759,1303
S04,7,C,1801,1988,1628
S04,7,C,2009,2417,1628
S04,7,C,2425,2714,1628
S04,7,.,2725,3111,.
S04,7,.,3120,3555,.
S04,7,C,3567,3850,1628
S04,7,C,3871,4327,1628
S04,7,C,4381,4534,1303
S04,7,C,4554,4716,1303
S04,7,O,4759,5051,525
S04,7,O,5063,5294,525
S04,7,O,5350,5567,674
S04,7,O,5582,6037,674
S04,7,C,6067,6423,357
S04,7,.,6464,7595,.
S04,7,.,7631,7802,.
S04,7,.,7829,8018,.
S04,7,.,8028,8104,.
S04,8,C,322,565,1895
S04,8,C,591,891,1895
S04,8,C,915,1105,1895
S04,8,C,1136,1517,1895
S04,8,C,1541,1732,1895
S04,8,C,1760,2089,1895
S04,8,C,2110,2364,1895
S04,8,O,2403,2617,328
S04,8,O,2632,2744,328
S04,8,.,2811,2968,.
S04,8,.,2983,3174,.
S04,8,.,3188,3360,.
S04,8,C,3423,3718,499
S04,8,.,3742,4188,.
S04,8,C,4197,4399,499
S04,8,O,4424,4727,2148
S04,8,O,4739,4883,2148
S04,8,O,4960,5139,634
S04,8,O,5158,5492,634
S04,8,O,5506,5624,634
S04,8,O,5692,6021,2148
S04,8,O,6047,6407,2148
S04,8,O,6438,6694,2148
S04,8,O,6718,6740,2148
S04,8,O,6788,6932,2148
S04,8,O,7003,7338,2148
S04,8,O,7385,7631,2148
S04,8,O,7657,7864,403
S04,8,O,7900,8094,403
S04,9,O,87,282,1271
S04,9,C,333,459,829
S04,9,C,486,625,829
S04,9,O,653,929,1587
S04,9,O,952,1377,1587
S04,9,O,1395,1639,1587
S04,9,O,1659,1965,1587
